2026-07-14 21:31:55,117 | WARNING | src.etl.loader | profitandloss: dropped 91 rows with company_id not in companies (1082 remain)
2026-07-14 21:31:55,123 | WARNING | src.etl.loader | profitandloss: dropped 12 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 21:31:55,335 | INFO | src.etl.loader | Read balancesheet: 1312 rows, 13 cols
2026-07-14 21:31:55,341 | WARNING | src.etl.loader | balancesheet: 5 rows rejected during year normalization
2026-07-14 21:31:55,343 | WARNING | src.etl.loader | balancesheet: dropped 80 rows with company_id not in companies (1227 remain)
2026-07-14 21:31:55,344 | WARNING | src.etl.loader | balancesheet: dropped 169 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 21:31:55,460 | INFO | src.etl.loader | Read cashflow: 1187 rows, 7 cols
2026-07-14 21:31:55,466 | WARNING | src.etl.loader | cashflow: dropped 96 rows with company_id not in companies (1091 remain)
2026-07-14 21:31:55,468 | WARNING | src.etl.loader | cashflow: dropped 35 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 21:31:55,487 | INFO | src.etl.loader | Read analysis: 20 rows, 6 cols
2026-07-14 21:31:55,490 | WARNING | src.etl.loader | analysis: dropped 4 rows with company_id not in companies (16 remain)
2026-07-14 21:31:55,598 | INFO | src.etl.loader | Read documents: 1585 rows, 4 cols
2026-07-14 21:31:55,604 | WARNING | src.etl.loader | documents: dropped 128 rows with company_id not in companies (1457 remain)
2026-07-14 21:31:55,622 | INFO | src.etl.loader | Read prosandcons: 16 rows, 4 cols
2026-07-14 21:31:55,624 | WARNING | src.etl.loader | prosandcons: dropped 2 rows with company_id not in companies (14 remain)
2026-07-14 21:31:55,649 | INFO | src.etl.loader | Read sectors: 92 rows, 6 cols
2026-07-14 21:31:56,157 | INFO | src.etl.loader | Read stock_prices: 5520 rows, 9 cols
2026-07-14 21:31:56,349 | INFO | src.etl.loader | Read financial_ratios: 1184 rows, 16 cols
2026-07-14 21:31:56,355 | WARNING | src.etl.loader | financial_ratios: dropped 24 rows with company_id not in companies (1160 remain)
2026-07-14 21:31:56,358 | WARNING | src.etl.loader | financial_ratios: dropped 119 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 21:31:56,441 | INFO | src.etl.loader | Read market_cap: 552 rows, 9 cols
2026-07-14 21:31:56,470 | INFO | src.etl.loader | Read peer_groups: 56 rows, 4 cols
2026-07-14 21:31:56,478 | INFO | src.etl.loader | Merged market_cap into financial_ratios: 1041 rows
2026-07-14 21:31:56,956 | INFO | __main__ | Removed existing db\nifty100.db for a clean load
2026-07-14 21:31:57,039 | INFO | __main__ | Schema applied from db\schema.sql
2026-07-14 21:31:57,046 | INFO | __main__ | Wrote companies: 92 rows
2026-07-14 21:31:57,059 | INFO | __main__ | Wrote profitandloss: 1070 rows
2026-07-14 21:31:57,072 | INFO | __main__ | Wrote balancesheet: 1058 rows
2026-07-14 21:31:57,085 | INFO | __main__ | Wrote cashflow: 1056 rows
2026-07-14 21:31:57,092 | INFO | __main__ | Wrote analysis: 16 rows
2026-07-14 21:31:57,101 | INFO | __main__ | Wrote documents: 1457 rows
2026-07-14 21:31:57,108 | INFO | __main__ | Wrote prosandcons: 14 rows
2026-07-14 21:31:57,115 | INFO | __main__ | Wrote sectors: 92 rows
2026-07-14 21:31:57,151 | INFO | __main__ | Wrote stock_prices: 5520 rows
2026-07-14 21:31:57,168 | INFO | __main__ | Wrote financial_ratios: 1041 rows
2026-07-14 21:31:57,176 | INFO | __main__ | Wrote peer_groups: 56 rows
